ID,Player,Year,Tm,Age,Pos,G,GS,rating_adj_1,df_id,pro_bowl,first_all_pro
51947,Ja'Marr Chase,2024,CIN,24,WR,17,16,120.2,Receiving,0,0
51948,Amon-Ra St. Brown,2024,DET,25,WR,17,17,84.5,Receiving,0,0
51949,Brock Bowers,2024,LVR,22,TE,17,16,51.7,Receiving,0,0
51950,Trey McBride,2024,ARI,25,TE,16,16,35.5,Receiving,0,0
51951,Malik Nabers,2024,NYG,21,WR,15,13,64.8,Receiving,0,0
51952,Justin Jefferson,2024,MIN,25,WR,17,17,113.8,Receiving,0,0
51953,CeeDee Lamb,2024,DAL,25,WR,15,15,69,Receiving,0,0
51954,Garrett Wilson,2024,NYJ,24,WR,17,17,66.4,Receiving,0,0
51955,Drake London,2024,ATL,23,WR,17,17,91.9,Receiving,0,0
51956,Jaxon Smith-Njigba,2024,SEA,22,WR,17,16,64.8,Receiving,0,0
51957,D.J. Moore,2024,CHI,27,WR,17,17,53.3,Receiving,0,0
51958,Travis Kelce,2024,KAN,35,TE,16,16,26.4,Receiving,0,0
51959,Wan'Dale Robinson,2024,NYG,23,WR,17,7,18.9,Receiving,0,0
51960,Jerry Jeudy,2024,CLE,25,WR,17,16,76.9,Receiving,0,0
51961,Jonnu Smith,2024,MIA,29,TE,17,6,69.8,Receiving,0,0
51962,Jakobi Meyers,2024,LVR,28,WR,15,15,62,Receiving,0,0
51963,Brian Thomas,2024,JAX,22,WR,17,16,121.5,Receiving,0,0
51964,Davante Adams,2024,2TM,32,WR,14,14,92.2,Receiving,0,0
51965,Davante Adams,2024,LVR,32,WR,3,3,65.2,Receiving,0,0
51966,Davante Adams,2024,NYJ,32,WR,11,11,99.5,Receiving,0,0
51967,Ladd McConkey,2024,LAC,23,WR,16,14,100.5,Receiving,0,0
51968,Terry McLaurin,2024,WAS,29,WR,17,17,130.4,Receiving,0,0
51969,Tyreek Hill,2024,MIA,30,WR,17,17,76.5,Receiving,0,0
51970,Courtland Sutton,2024,DEN,29,WR,17,13,101.6,Receiving,0,0
51971,Puka Nacua,2024,LAR,23,WR,11,11,64.2,Receiving,0,0
51972,De'Von Achane,2024,MIA,23,RB,17,16,42,Receiving,0,0
51973,George Kittle,2024,SFO,31,TE,15,15,110.6,Receiving,0,0
51974,Jauan Jennings,2024,SFO,27,WR,15,10,85.4,Receiving,0,0
51975,Khalil Shakir,2024,BUF,24,WR,15,9,56.9,Receiving,0,0
51976,Mike Evans,2024,TAM,31,WR,14,14,128.6,Receiving,0,0
51977,Zay Flowers,2024,BAL,24,WR,17,15,87.3,Receiving,0,0
51978,Tee Higgins,2024,CIN,25,WR,12,9,113.6,Receiving,0,0
51979,Josh Downs,2024,IND,23,WR,14,8,68.4,Receiving,0,0
51980,Keenan Allen,2024,CHI,32,WR,15,15,79.3,Receiving,0,0
51981,Michael Pittman Jr.,2024,IND,27,WR,16,14,60,Receiving,0,0
51982,Nico Collins,2024,HOU,25,WR,12,12,116,Receiving,0,0
51983,Alvin Kamara,2024,NOR,29,RB,14,14,21.5,Receiving,0,0
51984,DeVonta Smith,2024,PHI,26,WR,13,13,101.9,Receiving,0,0
51985,A.J. Brown,2024,PHI,27,WR,13,13,127.80000000000001,Receiving,0,0
51986,Cooper Kupp,2024,LAR,31,WR,12,11,73.8,Receiving,0,0
51987,Demario Douglas,2024,NWE,24,WR,17,7,41.6,Receiving,0,0
51988,Zach Ertz,2024,WAS,34,TE,17,17,76.3,Receiving,0,0
51989,Hunter Henry,2024,NWE,30,TE,16,16,40.7,Receiving,0,0
51990,D.K. Metcalf,2024,SEA,27,WR,15,12,104.3,Receiving,0,0
51991,Pat Freiermuth,2024,PIT,26,TE,17,11,78.3,Receiving,0,0
51992,Mike Gesicki,2024,CIN,29,TE,17,3,41.1,Receiving,0,0
51993,Darnell Mooney,2024,ATL,27,WR,16,16,109.4,Receiving,0,0
51994,David Njoku,2024,CLE,28,TE,11,11,45.2,Receiving,0,0
51995,Calvin Ridley,2024,TEN,30,WR,17,14,104.9,Receiving,0,0
51996,Jordan Addison,2024,MIN,22,WR,15,15,128.4,Receiving,0,0
51997,Marvin Harrison Jr.,2024,ARI,22,WR,17,16,124.7,Receiving,0,0
51998,Ray-Ray McCloud,2024,ATL,28,WR,17,13,40.8,Receiving,0,0
51999,Elijah Moore,2024,CLE,24,WR,17,13,21.9,Receiving,0,0
52000,Bijan Robinson,2024,ATL,22,RB,17,17,8.3,Receiving,0,0
52001,Sam LaPorta,2024,DET,23,TE,16,16,100.1,Receiving,0,0
52002,Jake Ferguson,2024,DAL,25,TE,14,14,9.9,Receiving,0,0
52003,Cade Otton,2024,TAM,25,TE,14,14,59.2,Receiving,0,0
52004,George Pickens,2024,PIT,23,WR,14,12,93.6,Receiving,0,0
52005,Xavier Worthy,2024,KAN,21,WR,17,13,81.7,Receiving,0,0
52006,Jaylen Waddle,2024,MIA,26,WR,15,15,64.9,Receiving,0,0
52007,Jameson Williams,2024,DET,23,WR,15,11,140.7,Receiving,0,0
52008,Breece Hall,2024,NYJ,23,RB,16,16,37.3,Receiving,0,0
52009,DeAndre Hopkins,2024,2TM,32,WR,16,8,76.2,Receiving,0,0
52010,DeAndre Hopkins,2024,TEN,32,WR,6,3,70.2,Receiving,0,0
52011,DeAndre Hopkins,2024,KAN,32,WR,10,5,78.3,Receiving,0,0
52012,Mark Andrews,2024,BAL,29,TE,17,13,120.9,Receiving,0,0
52013,Quentin Johnston,2024,LAC,23,WR,15,11,121.6,Receiving,0,0
52014,Jayden Reed,2024,GNB,24,WR,17,10,125.7,Receiving,0,0
52015,Chase Brown,2024,CIN,24,RB,16,10,37.3,Receiving,0,0
52016,Rome Odunze,2024,CHI,22,WR,17,12,82,Receiving,0,0
52017,Dalton Schultz,2024,HOU,28,TE,17,13,43,Receiving,0,0
52018,Jahmyr Gibbs,2024,DET,22,RB,17,4,61.9,Receiving,0,0
52019,Chigoziem Okonkwo,2024,TEN,25,TE,17,11,36.4,Receiving,0,0
52020,Javonte Williams,2024,DEN,24,RB,17,11,0,Receiving,0,0
52021,Tyler Conklin,2024,NYJ,29,TE,16,15,53.1,Receiving,0,0
52022,Tank Dell,2024,HOU,25,WR,14,10,79.3,Receiving,0,0
52023,Aaron Jones,2024,MIN,30,RB,17,17,26.5,Receiving,0,0
52024,Deebo Samuel,2024,SFO,28,WR,15,15,79.8,Receiving,0,0
52025,Rachaad White,2024,TAM,25,RB,16,15,63.5,Receiving,0,0
52026,Will Dissly,2024,LAC,28,TE,15,8,40.6,Receiving,0,0
52027,Chris Godwin,2024,TAM,28,WR,7,7,86.8,Receiving,0,0
52028,Juwan Johnson,2024,NOR,28,TE,17,5,62,Receiving,0,0
52029,Tucker Kraft,2024,GNB,24,TE,17,17,129.1,Receiving,0,0
52030,Xavier Legette,2024,CAR,23,WR,16,13,66,Receiving,0,0
52031,Tyler Lockett,2024,SEA,32,WR,17,14,63.2,Receiving,0,0
52032,Jalen Tolbert,2024,DAL,25,WR,17,15,116.3,Receiving,0,0
52033,Noah Fant,2024,SEA,27,TE,14,9,37.7,Receiving,0,0
52034,Adam Thielen,2024,CAR,34,WR,10,10,99.9,Receiving,0,0
52035,James Conner,2024,ARI,29,RB,16,16,24.3,Receiving,0,0
52036,Stefon Diggs,2024,HOU,31,WR,8,8,60.5,Receiving,0,0
52037,Evan Engram,2024,JAX,30,TE,9,9,15.5,Receiving,0,0
52038,Bucky Irving,2024,TAM,22,RB,17,3,9.6,Receiving,0,0
52039,Cole Kmet,2024,CHI,25,TE,17,16,67.2,Receiving,0,0
52040,Kyle Pitts,2024,ATL,24,TE,17,15,90.2,Receiving,0,0
52041,Tre Tucker,2024,LVR,23,WR,17,14,68.2,Receiving,0,0
52042,Michael Wilson,2024,ARI,24,WR,16,13,80.5,Receiving,0,0
52043,Romeo Doubs,2024,GNB,24,WR,13,12,93.3,Receiving,0,0
52044,Kenneth Walker III,2024,SEA,24,RB,11,11,11,Receiving,0,0
52045,Rashod Bateman,2024,BAL,25,WR,17,14,158.3,Receiving,0,0
52046,Austin Hooper,2024,NWE,30,TE,17,8,62.1,Receiving,0,0
